Dataset Name,Title / Official Name,Persistent Identifier (PID),Domain,Clinical Setting,Short name / acronym,Number of Documents / Notes,Language(s),Annotation Types / Levels / Tasks,Access / Use Conditions,Access Mechanism,License / Terms of Use,Repository / Hosting / Mirror URLs
MedMentions,MedMentions: A Large Biomedical Corpus Annotated with UMLS Concepts,10.48550/arXiv.1902.09476,Biomedical concept recognition / Entity linking,Biomedical research literature (not clinical setting),MedMentions,"4,392 PubMed abstracts from 2016; 350,000+ linked UMLS entity mentions; Two variants: full corpus and ST21pv subset",English,Named Entity Recognition and Linking (NERL) to UMLS; Exhaustive annotation of all UMLS 2017AA entity mentions; Semantic type identification,Free and open access; Released under CC0 license,https://github.com/chanzuckerberg/MedMentions; Data available on GitHub,CC0 License (public domain),https://github.com/chanzuckerberg/MedMentions
ChemProt (BioCreative VI),BioCreative VI Chemical-Protein Interaction Track / ChemProt Corpus,10.1093/database/bay073,Chemical-protein interactions / Drug-protein relations,Biomedical research literature,"ChemProt, BC6-ChemProt","1,820 PubMed abstracts (sample: 50, training: 1,000, development: 612, test: 200); ~18,000 entity annotations, ~7,600 relation annotations",English,"Chemical-Protein Interaction (CPI) extraction; Named entities provided; Relation classification into 10 CPR groups (5 evaluated: CPR:3, CPR:4, CPR:5, CPR:6, CPR:9)",Free for research; Available through BioCreative website,https://huggingface.co/datasets/bigbio/chemprot,BioCreative terms of use; Free for research,https://huggingface.co/datasets/bigbio/chemprot
CRAFT Corpus,Colorado Richly Annotated Full-Text (CRAFT) Corpus,10.1186/1471-2105-13-161,Multi-modal biomedical corpus / Full-text annotation,"Biomedical research literature (full articles, not clinical notes)",CRAFT,"97 full-text journal articles; 790,000+ tokens (full corpus); 560,000+ tokens (initial 67-article release); ~30,000 coreference annotations",English,"Multi-model annotation: Concept annotation (9 ontologies), Syntactic annotation (Penn Treebank), Coreference resolution, Sentence segmentation, Tokenization, POS tagging",Free and open access for research,http://bionlp-corpora.sourceforge.net/CRAFT/,Open access; Specific license terms vary by release,http://bionlp-corpora.sourceforge.net/CRAFT/; GitHub repositories; SourceForge
RadQA,RadQA: A Question Answering Dataset to Improve Comprehension of Radiology Reports,10.13026/ckkp-6y19,Radiology reports,Inpatient adult critical care (ICU),RadQA,1009 radiology reports,English,Machine Reading Comprehension / extractive QA,Free but requires PhysioNet credentialing and Data Use Agreement (DUA),https://physionet.org/content/radqa/1.0.0/,PhysioNet Credentialed Health Data License 1.5.0,https://physionet.org/content/radqa/1.0.0/
COVID-19 Open Research Dataset,The Covid-19 Open Research Dataset,10.18653/v1/2020.nlpcovid19-acl.1,Biomedical literature,not clinical setting,CORD-19,"as of 6/14/2020, it contains 140k papers with over 72k full texts. ",English,"no for this data itself, but annotated with QA, entailment, claim verification, etc in other studies using CORD-19",Free,https://github.com/allenai/cord19?tab=readme-ov-file,open access,https://github.com/allenai/cord19
EBM-NLP,"A Corpus with Multi-Level Annotations of Patients, Interventions and
Outcomes to Support Language Processing for Medical Literature",10.18653/v1/P18-1019,"Evidenced-Based Medicine, Medical Literature ",Biomedical research literature(not clinical setting),EBM-NLP,"~5,000 richly annotated abstracts (4,300 train / 500 dev / 200 test)",English,Span-level annotations marking text describing PICO elements,Free,https://github.com/bepnye/EBM-NLP,open access,https://github.com/bepnye/EBM-NLP
MEDIQA 2021,MEDIQA 2021,10.18653/v1/2021.bionlp-1.8,Medical text summarization / Medical NLP,Medical context / Clinical,MEDIQA 2021,Task 1: ~500 consumer health questions; Task 2: multi-answer dataset; Task 3: radiology reports from MIMIC-CXR,English,"Summaries (reference and system-generated), Evaluation metrics",Free and open access; Publicly available,https://github.com/abachaa/MEDIQA2021,Public domain (shared task license); No specific restrictions,https://sites.google.com/view/mediqa2021; https://github.com/abachaa/MEDIQA2021
eICU Collaborative Research Database,"The eICU Collaborative Research Database, a freely available multi-center database for critical care research",10.13026/C2WM1R,Intensive Care / Critical Care,Intensive Care Unit (ICU) and general inpatient hospital settings,eICU-CRD,"200,859 patient unit encounters for 139,367 unique patients",English,Structured data entry; APACHE IV diagnosis system; Hierarchical diagnosis and treatment coding,"Free but requires PhysioNet credentialing, completion of CITI ""Data or Specimens Only Research"" course, and Data Use Agreement (DUA)",https://physionet.org/content/eicu-crd/2.0/,PhysioNet Credentialed Health Data License 1.5.0,https://physionet.org/content/eicu-crd/2.0/
MIMIC-CXR,MIMIC Chest X‑ray (MIMIC‑CXR) Database,10.13026/4jqj-jw95,Radiology – chest radiography (chest X‑ray imaging),Emergency Department,MIMIC‑CXR,"227,835 radiographic studies",English,"No manual linguistic annotations (no entity, relation, temporal, or assertion labels). Only de‑identification markings (PHI replaced by ___) and semi‑structured headings",Free but requires PhysioNet credentialing and Data Use Agreement (DUA),https://physionet.org/content/mimic-cxr/2.1.0/,PhysioNet Credentialed Health Data License 1.5.0,https://github.com/MIT-LCP/mimic-cxr
RadGraph,RadGraph: Extracting Clinical Entities and Relations from Radiology Reports,10.13026/hm87-5p47,Radiology / Chest X-ray radiology reports / Medical imaging,Intensive Care Unit (ICU) and general inpatient hospital settings,RadGraph,"Development dataset: 500 MIMIC-CXR reports (425 train, 75 dev), 14,579 entities, 10,889 relations

Test dataset: 100 reports (50 MIMIC-CXR, 50 CheXpert), Average 2,766 entities and 2,009 relations per annotator

Inference dataset: 220,763 MIMIC-CXR reports (6,161,934 entities, 4,409,026 relations)
500 CheXpert reports (13,783 entities, 9,908 relations)",English,"NER: 4 entity types
Relation Extraction: 3 relation types (directed edges between entities)
End-to-end entity and relation extraction: Joint task requiring correct entity boundaries, entity types, and relation types",Free but requires PhysioNet credentialing and Data Use Agreement (DUA),https://github.com/Stanford-AIMI/radgraph,"PhysioNet Credentialed Health Data License 1.5.0
Ethics / IRB / Privacy Protections:",https://github.com/Stanford-AIMI/radgraph
Bridge2AI-Voice v1.0,"Bridge2AI-Voice: An ethically-sourced, diverse voice dataset linked to health information",10.13026/37yb-1t42,Voice and Speech Disorders / Biomarkers of Health,Multi-site clinical sites across North America,Bridge2AI-Voice,"12,523 voice recordings from 306 participants",English,Voice recordings; Acoustic features; Demographic and clinical data,Restricted access; Requires PhysioNet credentialing and Data Use Agreement,https://physionet.org/news/post/bridge2ai-voice,PhysioNet Credentialed Health Data License 1.5.0,https://physionet.org/content/b2ai-voice/; https://github.com/sensein/b2aiprep; https://b2ai-voice.org/
MeDiSumQA,MeDiSumQA: Patient-Oriented Question-Answer Generation from Discharge Letters,10.13026/f566-h049,Medical text summarization / Question answering / Patient education,Clinical decision support; Medical education,MeDiSumQA,416 QA pairs (416 question-answer pairs from MIMIC-IV discharge summaries),English,"Question-Answer pairs; note_id, question, answer, discharge_summary",Requires credentialed access and Data Use Agreement (DUA); PhysioNet certified health data,https://physionet.org/content/medisumqa/1.0.0/,PhysioNet Credentialed Health Data License v1.5.0; Requires Data Use Agreement (DUA),https://physionet.org/content/medisumqa/1.0.0/
BRAX (Brazilian Chest X-ray),"BRAX, a Brazilian labeled chest X-ray dataset",10.13026/grwk-yh18,Radiology / Medical imaging,Hospital (Hospital Israelita Albert Einstein),BRAX,"40,967 chest X-ray images; 24,959 imaging studies; 19,351 patients; 14 labels derived","English, Portuguese (Brazilian Portuguese)","Image labels; 14 labels: No Finding, Enlarged Cardiomediastinum, Cardiomegaly, Lung Lesion, Lung Opacity, Edema, Consolidation, Pneumonia, Atelectasis, Pneumothorax, Pleural Effusion, Pleural Other, Fracture, Support Devices",Requires credentialed access and Data Use Agreement (DUA); PhysioNet Credentialed Health Data License 1.5.0,https://physionet.org/content/brax/1.1.0/,PhysioNet Credentialed Health Data License v1.5.0; Requires Data Use Agreement (DUA),https://physionet.org/content/brax/1.1.0/
ODD (Opioid Detection Dataset),DD: A Benchmark Dataset for the NLP‑based Opioid Related Aberrant Behavior Detection,10.13026/qrje-z188,"Opioid use, opioid‑related aberrant behaviors (ORABs), substance use / addiction medicine",Emergency Department,ODD,750 EHR notes of 500 opioid-treated patients,English,"Sentence‑level, multi‑label classification",Free but requires PhysioNet credentialing and Data Use Agreement,https://physionet.org/content/nlp-opioid-behavior-detection/1.0.0/,PhysioNet Credentialed Health Data License,https://physionet.org/content/nlp-opioid-behavior-detection/1.0.0/
PADS (Parkinson's Disease Smartwatch),PADS - Parkinsons Disease Smartwatch dataset,10.13026/m0w9-zx22,Movement Disorders / Parkinsons Disease,"Outpatient clinic of movement disorders (University Hospital Münster, Germany)",PADS,"5,159 measurement steps; 469 participants (PD patients, differential diagnoses, healthy controls); 11 interactive movement tasks; Apple Watch Series 4","English, German","Smartwatch sensor data (acceleration and rotation); 11 movement tasks: Resting, Postural, Kinetic; Parkinson's disease symptoms and non-motor symptoms",Open access; Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International Public License,https://physionet.org/content/parkinsons-disease-smartwatch/1.0.0/,PhysioNet Credentialed Health Data License,https://physionet.org/content/parkinsons-disease-smartwatch/1.0.0/
MTSamples,Medical Transcriptions Dataset (Kaggle version by Tara Boyle),https://www.kaggle.com/datasets/tboyle10/medicaltranscriptions,General Medicine / Multi-specialty,"Diverse (Inpatient, Outpatient, Surgery, Consults)",MTSamples,"4,999 records",English,Text classification by medical specialty,Free / Open access,https://www.kaggle.com/datasets/tboyle10/medicaltranscriptions,CC0: Public Domain,https://www.kaggle.com/datasets/tboyle10/medicaltranscriptions
George B. Moody Challenge 2023,Predicting Neurological Recovery from Coma After Cardiac Arrest: The George B. Moody PhysioNet Challenge 2023,10.13026/976s-6619,Cardiology / Neurology / Critical Care,Intensive Care Unit (ICU),PhysioNet Challenge 2023,"1,020 patients (multi-channel EEG and ECG recordings)", English (for clinical metadata),Outcome labels: CPC (Cerebral Performance Category) score at 3-6 months,Credentialed access required (PhysioNet),https://moody-challenge.physionet.org/2023/,Creative Commons Attribution 4.0 International (CC BY 4.0),https://moody-challenge.physionet.org/2023/
George B. Moody Challenge 2022,Heart Murmur Detection from Phonocardiogram Recordings: The George B. Moody PhysioNet Challenge 2022,10.13026/t49p-5v35,Cardiology / Pediatric Medicine,"Rural screening campaigns (Paraíba, Brazil)",PhysioNet Challenge 2022 / CirCor DigiScope,"5,272 PCG recordings from 1,568 patients (1,452 distinct individuals)", English (for clinical metadata),Murmur presence (Present/Absent/Unknown) and Clinical Outcome (Normal/Abnormal),Open access (database); hidden test set restricted,https://moody-challenge.physionet.org/2022/,Creative Commons Attribution 4.0 International (CC BY 4.0),https://moody-challenge.physionet.org/2022/
Medical Expert Annotations (LLM Hallucinations),Medical Expert Annotations of Unsupported Facts in Doctor-Written and LLM-Generated Patient Summarie,10.13026/782p-p614,Medical Summarization / NLP Safety,Hospital Discharge (Inpatient care),N/A,"200 summaries (100 doctor-written from MIMIC-IV, 100 LLM-generated)",English,"Token-level annotation of unsupported, contradicted, or incorrect facts",Restricted Access (PhysioNet Credentialed User),https://physionet.org/content/ann-pt-summ/1.0.1/,PhysioNet Ethical Health Data License,https://physionet.org/content/ann-pt-summ/1.0.1/
Medication Extraction Labels (MIMIC-IV-Note),Expert-labeled Medication Extraction Entities for MIMIC-IV-Note,10.13026/p5st-e137,Pharmacotherapy / Clinical NLP,Inpatient hospital care (Beth Israel Deaconess Medical Center),MIMIC-IV-Medication,300 discharge summaries,English,Named Entity Recognition (NER) for medication entities,Restricted Access (PhysioNet Credentialed User),https://physionet.org/content/medication-labels-mimic-note/1.0.0/,PhysioNet Ethical Health Data License,https://physionet.org/content/medication-labels-mimic-note/1.0.0/
Social Determinants of Health (MIMIC-III),Annotation dataset of social determinants of health from MIMIC-III Clinical Care Database,10.13026/qk2y-wx30,Public Health / Clinical NLP,Intensive Care Unit (ICU) / Tertiary Care Hospital,SDoH-MIMIC / annotation-dataset-sdoh,Sentence-level annotations of clinical notes from MIMIC-III,English,Sentence-level classification of SDoH mentions and adversity,Restricted Access (PhysioNet Credentialed User),https://physionet.org/content/annotation-dataset-sdoh/1.0.1/,PhysioNet Credentialed Health Data License,https://physionet.org/content/annotation-dataset-sdoh/1.0.1/
Temporal Respiratory Support Dataset,A dataset for extracting temporal information of respiratory support from clinical notes,10.13026/8n2e-6e23,Pulmonology / Critical Care / Clinical NLP,ntensive Care Unit (ICU),Resp-Support-Temp,500 clinical notes (from MIMIC-III),English,Temporal Information Extraction (Event and Time expression extraction),Restricted Access (PhysioNet Credentialed User),https://physionet.org/content/temporal-respiratory-support/,PhysioNet Ethical Health Data License,https://physionet.org/content/temporal-respiratory-support/
ArchEHR-QA,ArchEHR-QA: A Healthcare Dataset for Complex Reasoning and QA over EHRs,10.13026/n708-sn25,Clinical NLP / Reasoning,Intensive Care Unit (ICU),ArchEHR-QA,"Based on MIMIC-IV patient cohorts; 10,000+ QA pairs",English,Question Answering (QA) / Logical Reasoning,Restricted Access (PhysioNet Credentialed User),https://physionet.org/content/archehr-qa-bionlp-task-2025/1.3/,PhysioNet Ethical Health Data License,https://physionet.org/content/archehr-qa-bionlp-task-2025/1.3/
NCBI Disease,NCBI Disease Corpus,10.1016/j.jbi.2013.12.006,Biomedical Literature / Clinical Genetics,Research Literature (Genetic and clinical disease mentions),NCBI-disease,793 PubMed abstracts,English,Named Entity Recognition (NER) and Concept Normalization,Public Domain / Open Access,https://huggingface.co/datasets/ncbi/ncbi_disease,Public Domain (US Government Work),https://www.ncbi.nlm.nih.gov/CBBresearch/Dogan/DISEASE/
MedNLI,MedNLI: A Medical Natural Language Inference Dataset,10.13026/C2RS3W,Clinical NLP / Natural Language Inference,Intensive Care Unit (ICU),MedNLI,"14,049 premise-hypothesis pairs",English,"Natural Language Inference (Entailment, Contradiction, Neutral)",Restricted Access (PhysioNet Credentialed User),https://physionet.org/content/mednli/1.0.0/,PhysioNet Credentialed Health Data License,https://github.com/jgc128/mednli
MedSTS,MedSTS: A Resource for Clinical Semantic Textual Similarity,10.48550/arXiv.1808.09397,Clinical NLP / Semantic Similarity,Intensive Care Unit (ICU) / Mayo Clinic Hospital,MedSTS,"1,068 annotated sentence pairs (from a larger pool of 174,629)",English,Semantic Textual Similarity (STS) scoring,Restricted Access (Mayo Data Use Agreement required),https://n2c2.dbmi.hms.harvard.edu/2019-track-1,Mayo Clinic Research License,https://arxiv.org/abs/1808.09397
CARMEN-I,CARMEN-I: Spanish Corpus of Medical Narratives and Entities,10.13026/8066-5v73,General Medicine / De-identification,Multi-hospital (Spain),CARMEN-I,"1,000 manually annotated clinical documents",Spanish,De-identification (PHI masking) and Named Entity Recognition (NER),Restricted Access (PhysioNet Credentialed User),https://physionet.org/content/carmen-i/1.0.1/,PhysioNet Ethical Health Data License,https://physionet.org/content/carmen-i/1.0.1/
ClinText-SP & RigoBERTa,ClinText-SP: A Large-scale Spanish Clinical Corpus and RigoBERTa-Clinical Model,10.48550/arXiv.2503.18594,General Medicine / Clinical NLP,Multi-specialty Hospital Settings (Spain),ClinText-SP,~2.5 million clinical documents (Largest for Spanish clinical NLP),Spanish,Pre-training (Self-supervised) and Downstream NER/Classification,Restricted access for corpus; Model weights (RigoBERTa) are open,https://huggingface.co/PlanTL-GOB-ES,Apache 2.0 (for models); Restricted (for data),https://huggingface.co/PlanTL-GOB-ES
OpenMed NER,"OpenMed NER: Open-Source, Domain-Adapted State-of-the-Art Transformers for Biomedical NER",10.48550/arXiv.2508.01630,Biomedical NLP / Named Entity Recognition (NER),"Diverse (Academic literature, clinical notes, trials)",OpenMed NER,"Suite of 380+ models; pre-trained on 350,000 text passages",English,Multi-domain NER (Token Classification),Public / Open Access (Apache 2.0),https://huggingface.co/OpenMed,Apache License 2.0,https://huggingface.co/openmed-community /https://github.com/maziyarpanahi/openmed
MedJ / MedJEx,MedJ: Medical Jargon Extraction for Improving EHR Text Comprehension,10.48550/arXiv.2210.05875,Clinical NLP / Patient Education / Text Simplification,Hospitals affiliated with the University of Pittsburgh Medical Center (UPMC),MedJ,"18,178 expert-annotated sentences (containing 95,393 jargon terms)",English,Jargon Extraction (Named Entity Recognition / Sequence Labeling),Publicly available (for research purposes),https://github.com/MozziTasteBitter/MedJEx,Likely MIT or Apache 2.0 (check GitHub repository for specifics),https://github.com/MozziTasteBitter/MedJEx
Biomed-Enriched,Biomed-Enriched: A Large-scale Knowledge-Enriched Biomedical Corpus,10.48550/arXiv.2506.20331,Biomedical NLP / Knowledge Graph Integration,Academic Research / Evidence-Based Medicine,Biomed-Enriched,400K paragraphs (from PubMed/PMC-OA),English,Entity Linking (EL) and Knowledge Graph Grounding,Open Access (for research use),https://huggingface.co/datasets/almanach/Biomed-Enriched,Creative Commons Attribution 4.0 International (CC BY 4.0),https://huggingface.co/datasets/almanach/Biomed-Enriched
Semantic similairty and relatedness,UMNSRS (University of Minnesota Semantic Relatedness Reference Standard),10.13020/D6CX04,Clinical NLP / Lexical Semantics,Academic/Clinical terminology research,UMNSRS,"725 pairs (449 for similarity, 587 for relatedness)",English,Semantic Similarity and Semantic Relatedness scoring,Public / Open for Research,https://conservancy.umn.edu/items/74708665-a6b6-4f06-8f1a-c39ca8839f7a,Open Research License,https://conservancy.umn.edu/items/74708665-a6b6-4f06-8f1a-c39ca8839f7a
sense disambiguation repository,Word Sense Disambiguation (WSD) Repository for Clinical and Biomedical Text,10.1186/1471-2105-12-223,Biomedical NLP / Word Sense Disambiguation / Lexical Semantics,Biomedical Research / Literature (not clinical setting),MSH WSD / NLM WSD,"203 ambiguous terms (106 abbreviations, 88 regular terms, 9 mixed); 37,888 instances from 37,090 MEDLINE citations; Maximum 100 instances per sense",English,Word Sense Disambiguation - Assigning correct UMLS CUI (Concept Unique Identifier) to ambiguous terms,Requires UMLS Terminology Services (UTS) account (free with annual usage report),https://lhncbc.nlm.nih.gov/ii/tools/MetaMap/additional-tools/WSDServer.html,Open Access (NLM Terms),https://github.com/ruizhang-pcare/WSD-Repository
EchoGraph-annotated ECHO-NOTE2NUM Examples,EchoGraph-annotated ECHO-NOTE2NUM examples,10.13026/2h1h-9n57,Cardiology/Echocardiography,"Intensive Care Unit (ICU), Beth Israel Deaconess Medical Center",EchoGraph-ECHO-NOTE2NUM,"45,794 echocardiography reports",English,Named Entity Recognition (NER) and Relation Extraction,Credentialed Access Only / PhysioNet credentialed users who sign DUA / CITI Data or Specimens Only Research training required,https://physionet.org/content/echograph-note2num-annotations/1.0.0/,PhysioNet Credentialed Health Data License / PhysioNet Credentialed Health Data Use Agreement,https://physionet.org/content/echograph-note2num-annotations/1.0.0/
MS-CXR,Making the Most of Text Semantics to Improve Biomedical Vision-Language Processing,10.13026/ms5s-2a34,Radiology / Chest X-ray,Radiology,MS-CXR,1162 image-sentence pairs of bounding boxes and phrases across 8 cardiopulmonary findings,English,"Phrase grounding: bounding box + sentence pairs for 8 pathologies (atelectasis, cardiomegaly, consolidation, edema, lung opacity, pleural effusion, pneumonia, pneumothorax)",Restricted Access (PhysioNet Credentialed User),https://physionet.org/content/ms-cxr/1.1.0/,PhysioNet Credentialed Health Data License 1.5.0,https://physionet.org/content/ms-cxr/1.1.0/
MS-CXR-T,multi-modal benchmark dataset for evaluating biomedical vision-language processing (VLP) models,10.13026/pg10-j984,Biomedical NLP/Imaging,radiology,MS-CXR-T,1326 image pairs and 361 sentence pairs,English,class label for each image- and sentence-pair,Restricted Access (PhysioNet Credentialed User),https://physionet.org/content/ms-cxr-t/1.0.0/,PhysioNet Credentialed Health Data License,https://physionet.org/content/ms-cxr-t/1.0.0/
CXRGraph,Using Information Extraction to Normalize the Training Data for Automatic Radiology Report Generation,10.13026/p7kf-t860,Radiology / Chest X-ray / NLP,Radiology,CXRGraph,"550 manually annotated MIMIC-CXR reports + 50 CheXpert reports (ground truth); 227,835 auto-annotated MIMIC-CXR reports (inference)",English,"Named entity recognition (5 entity types), relation extraction (4 relation types), entity attribute recognition (3 attributes including abnormality and prior reference handling)",Restricted Access (PhysioNet Credentialed User),https://physionet.org/content/cxrgraph/1.0.0/,PhysioNet Credentialed Health Data License 1.5.0,https://physionet.org/content/cxrgraph/1.0.0/
Tasks 1 and 3 from Progress Note Understanding Suite of Tasks: SOAP Note Tagging and Problem List Summarization,Tasks 1 and 3 from Progress Note Understanding Suite of Tasks: SOAP Note Tagging and Problem List Summarization,10.13026/wks0-w041,Clinical NLP / Critical Care,Intensive Care Unit (ICU),SOAP Note Tasks 1&3,765 progress notes (603 train / 75 validation / 87 test),English,Task 1: SOAP section tagging (sequence labeling); Task 3: Problem list summarization (diagnosis extraction from Plan section),Restricted Access (PhysioNet Credentialed User),https://physionet.org/content/task-1-3-soap-note-tag/1.0.0/,PhysioNet Credentialed Health Data License 1.5.0,https://physionet.org/content/task-1-3-soap-note-tag/1.0.0/
PIFIR: PET-CT Invasive Fungal Infection Reports,PET-CT Invasive Fungal Infection Reports,10.13026/d51v-j343,Radiology / Infectious Disease,Oncology / Hematology (patients with haematological malignancy and/or bone marrow transplant),PIFIR,201 de-identified PET-CT reports,English,"Named entity recognition (IFI-related concepts, certainty cues) and relation extraction",Restricted Access (PhysioNet Credentialed User),https://physionet.org/content/pifir/1.0.0/,PhysioNet Credentialed Health Data License 1.5.0,https://physionet.org/content/pifir/1.0.0/
CHIFIR,Cytology and Histopathology Invasive Fungal Infection Reports,10.13026/m1rk-ns13,Pathology / Infectious Disease,Pathology (patients with haematological malignancy),CHIFIR,283 de-identified reports,English,"Named entity recognition (IFI-specific concepts, certainty cues) and relation extraction",Restricted Access (PhysioNet Credentialed User),https://physionet.org/content/corpus-fungal-infections/1.0.2/,PhysioNet Credentialed Health Data License 1.5.0,https://physionet.org/content/corpus-fungal-infections/1.0.2/
